26 650
12 7 908
12 8 394
12 9 513
12 10 315
12 11 237
12 13 513
12 14 612
12 15 280
12 16 881
12 17 295
12 18 619
12 19 671
12 20 827
12 21 784
12 22 678
12 23 394
12 24 582
12 25 178
12 26 438
13 1 721
13 2 742
13 3 124
13 4 681
13 5 618
13 6 441
13 7 292
13 8 822
13 9 772
13 10 736
13 11 749
13 12 513
13 14 779
13 15 641
13 16 1024
13 17 730
13 18 1084
13 19 316
13 20 385
13 21 218
13 22 220
13 23 797
13 24 418
13 25 881
13 26 790
14 1 635
14 2 773
14 3 906
14 4 570
14 5 721
14 6 860
14 7 1180
14 8 1042
14 9 304
14 10 566
14 11 572
14 12 612
14 13 779
14 15 344
14 16 833
14 17 549
14 18 330
14 19 888
14 20 1035
14 21 989
14 22 899
14 23 598
14 24 819
14 25 349
14 26 611
15 1 611
15 2 433
15 3 788
15 4 271
15 5 452
15 6 412
15 7 1042
15 8 684
15 9 137
15 10 196
15 11 215
15 12 280
15 13 641
15 14 344
15 16 617
15 17 309
15 18 476
15 19 673
15 20 820
15 21 774
15 22 682
15 23 417
15 24 644
15 25 221
15 26 479
16 1 875
16 2 961
16 3 1220
16 4 812
16 5 915
16 6 477
16 7 1332
16 8 1212
16 9 285
16 10 702
16 11 771
16 12 881
16 13 1024
16 14 833
16 15 617
16 17 796
16 18 721
16 19 1028
16 20 1259
16 21 1214
16 22 1093
16 23 695
16 24 989
16 25 555
16 26 761
17 1 556
17 2 49
17 3 802
17 4 244
17 5 353
17 6 180
17 7 1075
17 8 777
17 9 419
17 10 180
17 11 71
17 12 295
17 13 730
17 14 549
17 15 309
17 16 796
17 18 423
17 19 786
17 20 933
17 21 887
17 22 795
17 23 493
17 24 708
17 25 216
17 26 472
18 1 802
18 2 446
18 3 1207
18 4 476
18 5 691
18 6 123
18 7 1330
18 8 1127
18 9 252
18 10 401
18 11 451
18 12 619
18 13 1084
18 14 330
18 15 476
18 16 721
18 17 423
18 19 931
18 20 1071
18 21 1025
18 22 935
18 23 596
18 24 799
18 25 477
18 26 736
19 1 595
19 2 802
19 3 388
19 4 712
19 5 572
19 6 588
19 7 529
19 8 511
19 9 417
19 10 802
19 11 712
19 12 671
19 13 316
19 14 888
19 15 673
19 16 1028
19 17 786
19 18 931
19 20 337
19 21 365
19 22 299
19 23 525
19 24 184
19 25 557
19 26 392
20 1 763
20 2 942
20 3 279
20 4 888
20 5 824
20 6 1185
20 7 297
20 8 599
20 9 1150
20 10 949
20 11 859
20 12 827
20 13 385
20 14 1035
20 15 820
20 16 1259
20 17 933
20 18 1071
20 19 337
20 21 46
20 22 40
20 23 820
20 24 165
20 25 805
20 26 568
21 1 788
21 2 896
21 3 110
21 4 908
21 5 846
21 6 1229
21 7 235
21 8 635
21 9 1194
21 10 903
21 11 813
21 12 784
21 13 218
21 14 989
21 15 774
21 16 1214
21 17 887
21 18 1025
21 19 365
21 20 46
21 22 90
21 23 847
21 24 177
21 25 851
21 26 610
22 1 760
22 2 806
22 3 144
22 4 734
22 5 654
22 6 1163
22 7 89
22 8 628
22 9 1128
22 10 813
22 11 721
22 12 678
22 13 220
22 14 899
22 15 682
22 16 1093
22 17 795
22 18 935
22 19 299
22 20 40
22 21 90
22 23 807
22 24 145
22 25 817
22 26 577
23 1 317
23 2 377
23 3 705
23 4 129
23 5 235
23 6 602
23 7 831
23 8 493
23 9 529
23 10 346
23 11 407
23 12 394
23 13 797
23 14 598
23 15 417
23 16 695
23 17 493
23 18 596
23 19 525
23 20 820
23 21 847
23 22 807
23 24 671
23 25 282
23 26 552
24 1 694
24 2 628
24 3 404
24 4 673
24 5 654
24 6 929
24 7 585
24 8 560
24 9 856
24 10 585
24 11 631
24 12 582
24 13 418
24 14 819
24 15 644
24 16 989
24 17 708
24 18 799
24 19 184
24 20 165
24 21 177
24 22 145
24 23 671
24 25 536
24 26 313
25 1 264
25 2 316
25 3 768
25 4 92
25 5 322
25 6 553
25 7 956
25 8 504
25 9 377
25 10 275
25 11 244
25 12 178
25 13 881
25 14 349
25 15 221
25 16 555
25 17 216
25 18 477
25 19 557
25 20 805
25 21 851
25 22 817
25 23 282
25 24 536
25 26 257
26 1 160
26 2 577
26 3 677
26 4 300
26 5 419
26 6 710
26 7 865
26 8 671
26 9 386
26 10 537
26 11 497
26 12 438
26 13 790
26 14 611
26 15 479
26 16 761
26 17 472
26 18 736
26 19 392
26 20 568
26 21 610
26 22 577
26 23 552
26 24 313
26 25 257
